route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,trip_route_type,route_pattern_id,trip_label
Blue,RTL12020-hmb10011-Weekday-01,42885000,Bowdoin,"",0,B946_-1,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885001,Bowdoin,"",0,B946_-2,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885002,Bowdoin,"",0,B946_-5,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885003,Bowdoin,"",0,B946_-7,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885004,Bowdoin,"",0,B946_-9,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885005,Bowdoin,"",0,B946_-10,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885006,Bowdoin,"",0,B946_-12,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885007,Bowdoin,"",0,B946_-14,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885008,Bowdoin,"",0,B946_-17,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885009,Bowdoin,"",0,B946_-1,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885010,Bowdoin,"",0,B946_-2,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885011,Bowdoin,"",0,B946_-5,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885012,Bowdoin,"",0,B946_-7,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885013,Bowdoin,"",0,B946_-8,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885014,Bowdoin,"",0,B946_-9,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885015,Bowdoin,"",0,B946_-10,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885016,Bowdoin,"",0,B946_-12,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885017,Bowdoin,"",0,B946_-14,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885018,Bowdoin,"",0,B946_-15,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885019,Bowdoin,"",0,B946_-17,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885020,Bowdoin,"",0,B946_-1,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885021,Bowdoin,"",0,B946_-2,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885022,Bowdoin,"",0,B946_-3,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885023,Bowdoin,"",0,B946_-5,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885024,Bowdoin,"",0,B946_-7,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885025,Bowdoin,"",0,B946_-8,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885026,Bowdoin,"",0,B946_-9,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885027,Bowdoin,"",0,B946_-10,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885028,Bowdoin,"",0,B946_-12,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885029,Bowdoin,"",0,B946_-14,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885030,Bowdoin,"",0,B946_-15,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885031,Bowdoin,"",0,B946_-17,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885032,Bowdoin,"",0,B946_-1,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885033,Bowdoin,"",0,B946_-2,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885034,Bowdoin,"",0,B946_-3,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885035,Bowdoin,"",0,B946_-5,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885036,Bowdoin,"",0,B946_-7,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885037,Bowdoin,"",0,B946_-8,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885038,Bowdoin,"",0,B946_-9,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885039,Bowdoin,"",0,B946_-10,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885040,Bowdoin,"",0,B946_-12,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885041,Bowdoin,"",0,B946_-14,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885042,Bowdoin,"",0,B946_-15,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885043,Bowdoin,"",0,B946_-17,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885044,Bowdoin,"",0,B946_-1,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885045,Bowdoin,"",0,B946_-2,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885046,Bowdoin,"",0,B946_-3,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885047,Bowdoin,"",0,B946_-5,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885048,Bowdoin,"",0,B946_-7,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885049,Bowdoin,"",0,B946_-9,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885050,Bowdoin,"",0,B946_-12,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885051,Bowdoin,"",0,B946_-14,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885052,Bowdoin,"",0,B946_-17,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885053,Bowdoin,"",0,B946_-2,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885054,Bowdoin,"",0,B946_-5,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885055,Bowdoin,"",0,B946_-7,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885056,Bowdoin,"",0,B946_-9,946_0013,1,0,"",Blue-6-0,
Blue,RTL12020-hmb10011-Weekday-01,42885057,Bowdoin,"",0,B946_-12,946_0013,1,0,"",Blue-6-0,
